EmployeeID,DatePromotion
5,2026-01-29
12,2025-11-15
15,2025-06-15
17,2024-05-12
22,2024-09-12
29,2026-03-14
38,2023-06-18
41,2024-06-19
63,2025-08-10
73,2024-11-14
76,2026-05-21
79,2023-08-29
80,2026-01-30
82,2025-02-02
84,2025-03-21
90,2024-04-04
92,2024-08-06
99,2023-07-23
103,2023-08-07
117,2023-08-03
121,2024-10-25
137,2026-05-03
146,2024-10-14
147,2024-04-14
148,2025-04-29
149,2026-06-08
159,2024-04-29
164,2024-01-21
170,2025-03-06
171,2023-12-14
172,2024-07-31
178,2026-02-01
179,2024-02-12
182,2024-07-28
185,2025-12-09
186,2025-08-09
195,2025-06-09
204,2024-11-13
209,2025-07-02
211,2024-10-17
212,2025-10-31
220,2025-06-06
228,2024-01-07
238,2024-12-21
245,2025-09-20
259,2024-07-01
264,2025-07-11
271,2024-09-01
272,2026-05-05
275,2023-07-24
276,2025-08-19
282,2026-04-17
302,2025-10-14
305,2025-01-06
315,2025-08-15
333,2024-10-13
341,2026-01-19
342,2023-12-15
353,2026-02-03
362,2023-11-15
363,2025-06-28
364,2024-09-15
369,2024-02-19
383,2024-03-29
388,2024-01-26
392,2025-10-17
393,2025-01-28
394,2025-04-03
397,2024-12-17
402,2025-12-06
406,2024-02-27
421,2023-06-20
425,2025-12-30
430,2025-05-22
431,2024-07-17
437,2026-04-27
454,2025-12-13
464,2025-10-23
470,2025-07-25
473,2023-12-22
475,2025-12-21
477,2024-01-22
478,2023-09-21
479,2024-01-17
486,2023-09-23
491,2025-09-08
492,2024-04-06
495,2025-12-20
